SN,,,,,,,,,,,,,,,,,,,,,,ALL,FUTURE,PAST,N-1,N-2,N-3,,
1,Document,toaster,bread,sandwich,cafe,coffee,Starbucks,green straws,water,ice,pool,beach,Wilmington,blue sky,kite,field,football,practice,stand,band,water,,,,,,,2,
,cake,0.19,0.53,0.53,0.61,0.62,1,0.53,0.44,0.21,0.42,0.53,0.05,0.13,0.04,0.21,0.02,0.08,0.05,0.08,0.25,0.290526316,0.217142857,0.496,,,,,
,bread,0.21,0.59,1,0.77,0.6,0.53,1,0.56,0.22,0.42,1,0.2,0.16,0.09,0.11,0.02,0.08,0.02,-0.02,0.13,0.352105263,0.23,0.616666667,,,,,
,sandwich,0.17,0.61,0.56,0.63,0.5,0.44,0.56,1,0.2,0.4,0.56,0.06,0.21,0.01,0.28,0.08,0.08,0.06,0.13,0.2,0.302105263,0.189166667,0.495714286,,,,,
,jamón,-0.01,0.23,0.22,0.21,0.2,0.21,0.22,0.2,1,0.22,0.22,0.16,0.13,0.01,0.09,0.07,0.14,0.05,0.03,0.14,0.144210526,0.114545455,0.185,,,,,
,ham,0.1,0.42,0.42,0.41,0.44,0.42,0.42,0.4,0.22,1,0.42,0.12,0.05,0.03,0.34,0.02,0.11,0.07,0.09,0.3,0.252631579,0.155,0.361111111,,,,,
,bread,0.21,0.59,1,0.77,0.6,0.53,1,0.56,0.22,0.42,1,0.2,0.16,0.09,0.11,0.02,0.08,0.02,-0.02,0.13,0.352105263,0.087777778,0.59,,,,,
,dead,0.01,0.09,0.2,0.04,0.06,0.05,0.2,0.06,0.16,0.12,0.2,1,0.32,0.13,0.1,0.09,0.33,0.04,0.16,0.25,0.137368421,0.1775,0.108181818,,,,,
,head,0.02,0.22,0.16,0.11,0.15,0.13,0.16,0.21,0.13,0.05,0.16,0.32,1,0.04,0.21,0.08,0.29,0.05,0.13,0.35,0.156315789,0.164285714,0.151666667,,,,,
,plant,0.03,0.03,0.09,0.06,0.03,0.04,0.09,0.01,0.01,0.03,0.09,0.13,0.04,1,0.04,0.07,0.05,0.02,0.03,0.02,0.047894737,0.038333333,0.052307692,,,,,
,sock,0.04,0.23,0.11,0.12,0.18,0.21,0.11,0.28,0.09,0.34,0.11,0.1,0.21,0.04,1,0.05,0.03,0.05,0.13,0.47,0.152631579,0.146,0.155,,,,,
,rock,0.01,0.04,0.02,0.02,0.05,0.02,0.02,0.08,0.07,0.02,0.02,0.09,0.08,0.07,0.05,1,0.06,0.02,0.02,0.11,0.045789474,0.0525,0.044,,,,,
,man,0.03,0.06,0.08,0.04,0.09,0.08,0.08,0.08,0.14,0.11,0.08,0.33,0.29,0.05,0.03,0.06,1,0.08,0.05,0.22,0.104210526,0.116666667,0.101875,,,,,
,plan,0.03,0.06,0.02,0.04,0.07,0.05,0.02,0.06,0.05,0.07,0.02,0.04,0.05,0.02,0.05,0.02,0.08,1,0.05,0.08,0.046315789,0.065,0.044117647,,,,,
,stan,0.03,0.08,-0.02,0.01,0.04,0.08,-0.02,0.13,0.03,0.09,-0.02,0.16,0.13,0.03,0.13,0.02,0.05,0.05,1,0.12,0.058947368,0.12,0.055555556,,,,,
,ran,0.04,0.13,0.13,0.1,0.15,0.25,0.13,0.2,0.14,0.3,0.13,0.25,0.35,0.02,0.47,0.11,0.22,0.08,0.12,1,0.174736842,,0.174736842,,,,,
,,,,,,,,,,,,,,,,,,,,,,0.200842105,0.167316414,0.288964617,,,,,
8,Document,toaster,space,monkey,pan,dog,bed,car,scorpion,tail,eat,ülm,independence,brass,medal,microwave,dish,soup,ape,gorge,life,,,,,,,0,
,toaster,1,0.02,0.03,0.22,0,0.06,0.04,-0.02,-0.02,0.1,-0.02,0.02,0.1,0.02,0.13,0.08,0.17,0.02,-0.04,0.02,0.048947368,0.048947368,,0.153157895,0.071666667,0.066470588,,
,space,0.02,1,0.17,0.12,0.02,0.05,0.05,0.04,0.04,0.06,0.35,0.01,0.07,0.07,0.18,0.15,0.08,0.07,0.02,0.14,0.09,0.093888889,0.02,,,,,
,monkey,0.03,0.17,1,0.08,0.15,0.14,0.06,0.17,0.36,0.21,0.02,0.06,0.13,0.09,0.04,0.12,0.16,0.39,0.23,0.09,0.142105263,0.147058824,0.1,,,,,
,pan,0.22,0.12,0.08,1,0.12,0.17,0.02,0.02,0.07,0.17,0.03,0.05,0.23,0.03,0.11,0.62,0.51,0.08,0.05,0.08,0.146315789,0.1475,0.14,,,,,
,dog,0,0.02,0.15,0.12,1,0.1,0.08,0.14,0.48,0.06,0.01,0.01,0.01,0.01,-0.01,0.23,0.15,0.03,-0.01,0.05,0.085789474,0.089333333,0.0725,,,,,
,bed,0.06,0.05,0.14,0.17,0.1,1,0.07,0.01,0.08,0.11,0.02,0.04,0.09,0.09,-0.06,0.11,0.09,0.06,0.04,0.08,0.071052632,0.059285714,0.104,,,,,
,car,0.04,0.05,0.06,0.02,0.08,0.07,1,0.03,0.05,0.05,-0.01,0.01,0.06,0.02,0.02,0.05,0.02,0.04,0,0.07,0.038421053,0.031538462,0.053333333,,,,,
,scorpion,-0.02,0.04,0.17,0.02,0.14,0.01,0.03,1,0.29,0.12,0.1,0.03,0.14,0.04,0.02,0.05,-0.02,0.07,0.02,0.1,0.071052632,0.08,0.055714286,,,,,
,tail,-0.02,0.04,0.36,0.07,0.48,0.08,0.05,0.29,1,0.17,0.01,0.01,0.09,0.04,0,0.12,0.16,0.14,0.1,0.08,0.119473684,0.083636364,0.16875,,,,,
,eat,0.1,0.06,0.21,0.17,0.06,0.11,0.05,0.12,0.17,1,0,0.03,0.04,0.01,0.1,0.29,0.42,0.06,0.01,0.13,0.112631579,0.109,0.116666667,,,,,
,ülm,-0.02,0.35,0.02,0.03,0.01,0.02,-0.01,0.1,0.01,0,1,0.02,0.02,0,0.07,-0.03,-0.03,0.02,-0.02,-0.03,0.027894737,0.002222222,0.051,,,,,
,independence,0.02,0.01,0.06,0.05,0.01,0.04,0.01,0.03,0.01,0.03,0.02,1,0.07,0.05,0,0.02,0,0.02,0.05,0.14,0.033684211,0.04375,0.026363636,,,,,
,brass,0.1,0.07,0.13,0.23,0.01,0.09,0.06,0.14,0.09,0.04,0.02,0.07,1,0.16,0.06,0.19,0.16,0.04,0.04,0.15,0.097368421,0.114285714,0.0875,,,,,
,medal,0.02,0.07,0.09,0.03,0.01,0.09,0.02,0.04,0.04,0.01,0,0.05,0.16,1,0.05,0.07,0.06,0.06,-0.01,0.1,0.050526316,0.055,0.048461538,,,,,
,microwave,0.13,0.18,0.04,0.11,-0.01,-0.06,0.02,0.02,0,0.1,0.07,0,0.06,0.05,1,0.18,0.18,-0.02,0,0.01,0.055789474,0.07,0.050714286,,,,,
,dish,0.08,0.15,0.12,0.62,0.23,0.11,0.05,0.05,0.12,0.29,-0.03,0.02,0.19,0.07,0.18,1,0.62,0.02,-0.03,0.08,0.154736842,0.1725,0.15,,,,,
,soup,0.17,0.08,0.16,0.51,0.15,0.09,0.02,-0.02,0.16,0.42,-0.03,0,0.16,0.06,0.18,0.62,1,0.08,0.03,0.11,0.155263158,0.073333333,0.170625,,,,,
,ape,0.02,0.07,0.39,0.08,0.03,0.06,0.04,0.07,0.14,0.06,0.02,0.02,0.04,0.06,-0.02,0.02,0.08,1,0.56,0.09,0.096315789,0.325,0.069411765,,,,,
,gorge,-0.04,0.02,0.23,0.05,-0.01,0.04,0,0.02,0.1,0.01,-0.02,0.05,0.04,-0.01,0,-0.03,0.03,0.56,1,0.12,0.061052632,0.12,0.057777778,,,,,
,life,0.02,0.14,0.09,0.08,0.05,0.08,0.07,0.1,0.08,0.13,-0.03,0.14,0.15,0.1,0.01,0.08,0.11,0.09,0.12,1,0.084736842,,0.084736842,,,,,
,,,,,,,,,,,,,,,,,,,,,,0.087157895,0.098225275,0.085712127,,,,,
9,Document,toaster,wrestling,fixed,wrench,box,rusty,red,AC,dorm room,short shorts,kids,jump rope,hop scotch,sidewalk,fire hose,flames,arson,carson,watch,green,,,,,,,5,
,toaster,1,0.05,0.06,-0.03,0.08,0.06,0.07,0.23,0.06,0.04,0.02,0.04,0.01,0.1,0.11,0.1,0.04,-0.01,0.1,0.04,0.061578947,0.061578947,,0.201578947,0.122222222,0.128823529,,
,wrestling,0.05,1,0.1,-0.01,0.1,0.16,0.14,0.02,0.2,0.18,0.21,0.42,0.18,0.11,0.1,0.1,0.09,0.03,0.23,0.02,0.127894737,0.132222222,0.05,,,,,
,fixed,0.06,0.1,1,0.14,0.15,0.24,0.07,0.08,0.16,0.3,0.09,0.17,0.19,0.05,0.08,0.05,0.06,0.08,0.19,0.09,0.123684211,0.128823529,0.08,,,,,
,wrench,-0.03,-0.01,0.14,1,0.22,0.11,0.02,0.04,0,0.1,-0.02,0.13,0.02,0,0.09,0.02,-0.03,-0.01,0.1,-0.03,0.045263158,0.0475,0.033333333,,,,,
,box,0.08,0.1,0.15,0.22,1,0.25,0.19,0.03,0.22,0.07,0.09,0.24,0.31,0.16,0.11,0.04,0.07,0.05,0.23,0.17,0.146315789,0.148666667,0.1375,,,,,
,rusty,0.06,0.16,0.24,0.11,0.25,1,0.28,-0.03,0.3,0.21,0.26,0.23,0.26,0.21,0.19,0.18,-0.01,0.08,0.36,0.22,0.187368421,0.195714286,0.164,,,,,
,red,0.07,0.14,0.07,0.02,0.19,0.28,1,0.03,0.13,0.24,0.11,0.19,0.16,0.18,0.17,0.21,0.06,0.11,0.22,0.47,0.160526316,0.175384615,0.128333333,,,,,
,AC,0.23,0.02,0.08,0.04,0.03,-0.03,0.03,1,0.01,0.06,0.01,0.03,-0.01,-0.01,0.03,0,-0.01,0.11,0,-0.01,0.032105263,0.0175,0.057142857,,,,,
,dorm room,0.06,0.2,0.16,0,0.22,0.3,0.13,0.01,1,0.18,0.18,0.16,0.2,0.11,0.15,0.14,-0.01,0.12,0.3,0.1,0.142631579,0.148181818,0.135,,,,,
,short shorts,0.04,0.18,0.3,0.1,0.07,0.21,0.24,0.06,0.18,1,0.15,0.27,0.14,0.22,0.09,0.07,0.03,0.12,0.3,0.18,0.155263158,0.157,0.153333333,,,,,
,kids,0.02,0.21,0.09,-0.02,0.09,0.26,0.11,0.01,0.18,0.15,1,0.19,0.22,0.43,0.05,0.03,0.11,0.26,0.32,0.1,0.147894737,0.19,0.11,,,,,
,jump rope,0.04,0.42,0.17,0.13,0.24,0.23,0.19,0.03,0.16,0.27,0.19,1,0.52,0.24,0.11,0.08,-0.06,0,0.36,0.14,0.182105263,0.17375,0.188181818,,,,,
,hop scotch,0.01,0.18,0.19,0.02,0.31,0.26,0.16,-0.01,0.2,0.14,0.22,0.52,1,0.17,0.09,0.06,0.04,0.07,0.27,0.23,0.164736842,0.132857143,0.183333333,,,,,
,sidewalk,0.1,0.11,0.05,0,0.16,0.21,0.18,-0.01,0.11,0.22,0.43,0.24,0.17,1,0.06,0.06,0.1,0.14,0.35,0.14,0.148421053,0.141666667,0.151538462,,,,,
,fire hose,0.11,0.1,0.08,0.09,0.11,0.19,0.17,0.03,0.15,0.09,0.05,0.11,0.09,0.06,1,0.88,0.24,0.11,0.16,0.1,0.153684211,0.298,0.102142857,,,,,
,flames,0.1,0.1,0.05,0.02,0.04,0.18,0.21,0,0.14,0.07,0.03,0.08,0.06,0.06,0.88,1,0.24,0.11,0.17,0.14,0.141052632,0.165,0.134666667,,,,,
,arson,0.04,0.09,0.06,-0.03,0.07,-0.01,0.06,-0.01,-0.01,0.03,0.11,-0.06,0.04,0.1,0.24,0.24,1,0.05,0.03,0,0.054736842,0.026666667,0.06,,,,,
,carson,-0.01,0.03,0.08,-0.01,0.05,0.08,0.11,0.11,0.12,0.12,0.26,0,0.07,0.14,0.11,0.11,0.05,1,0.14,0.1,0.087368421,0.12,0.083529412,,,,,
,watch,0.1,0.23,0.19,0.1,0.23,0.36,0.22,0,0.3,0.3,0.32,0.36,0.27,0.35,0.16,0.17,0.03,0.14,1,0.17,0.210526316,0.17,0.212777778,,,,,
,green,0.04,0.02,0.09,-0.03,0.17,0.22,0.47,-0.01,0.1,0.18,0.1,0.14,0.23,0.14,0.1,0.14,0,0.1,0.17,1,0.124736842,,0.124736842,,,,,
,,,,,,,,,,,,,,,,,,,,,,0.129894737,0.13844803,0.120267399,,,,,
10,Document,toaster,fryer,pineapple,lettuce,lechuga,sister,subway,green,izquierda,housework,subatomic,geometry,algebra,statistics,advanced,placement,college,first year,ecuador,fiance,,,,,,,1,
,toaster,1,N/A,0.07,0.11,N/A,0.04,0.1,0.04,N/A,0.11,0.03,-0.04,-0.03,0.01,0,-0.01,0.03,0.01,-0.01,0.04,0.03125,0.03125,,0.173846154,0.119230769,0.143076923,,
,fryer,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,
,pineapple,0.07,N/A,1,0.37,N/A,0.2,0.16,0.12,N/A,0.14,0.02,0.03,0.05,0.01,-0.01,-0.03,0.03,0.15,-0.09,0.05,0.079375,0.08,0.07,,,,,
,lettuce,0.11,N/A,0.37,1,N/A,0.06,0.13,0.5,N/A,0.13,0.09,0.06,0.02,0,0.03,0.01,0.02,0.14,-0.01,0.02,0.105,0.085714286,0.24,,,,,
,lechuga,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,
,sister,0.04,N/A,0.2,0.06,N/A,1,0.23,0.15,N/A,0.4,0,0.02,0.19,0.05,0.08,0,0.13,0.28,0.04,0.2,0.129375,0.136153846,0.1,,,,,
,subway,0.1,N/A,0.16,0.13,N/A,0.23,1,0.07,N/A,0.09,0,0.01,0.07,0.04,0.08,-0.02,0.08,0.16,0.05,0.09,0.08375,0.06,0.155,,,,,
,green,0.04,N/A,0.12,0.5,N/A,0.15,0.07,1,N/A,0.03,0.03,0,0.04,0.03,0.1,0.01,0.05,0.18,0.04,0.06,0.090625,0.051818182,0.176,,,,,
,izquierda,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,
,housework,0.11,N/A,0.14,0.13,N/A,0.4,0.09,0.03,N/A,1,0,-0.03,0,0.08,0.03,0.03,0.06,0.19,-0.01,0.1,0.084375,0.045,0.15,,,,,
,subatomic,0.03,N/A,0.02,0.09,N/A,0,0,0.03,N/A,0,1,0.05,0,0.04,0.05,-0.01,-0.01,0.03,0.03,-0.01,0.02125,0.018888889,0.024285714,,,,,
,geometry,-0.04,N/A,0.03,0.06,N/A,0.02,0.01,0,N/A,-0.03,0.05,1,0.41,0.09,0.2,0.12,0.12,0.11,0.04,0.02,0.075625,0.13875,0.0125,,,,,
,algebra,-0.03,N/A,0.05,0.02,N/A,0.19,0.07,0.04,N/A,0,0,0.41,1,0.14,0.34,0.06,0.38,0.22,-0.01,0.2,0.13,0.19,0.083333333,,,,,
,statistics,0.01,N/A,0.01,0,N/A,0.05,0.04,0.03,N/A,0.08,0.04,0.09,0.14,1,0.12,0.18,0.26,0.2,0.03,0.18,0.09125,0.161666667,0.049,,,,,
,advanced,0,N/A,-0.01,0.03,N/A,0.08,0.08,0.1,N/A,0.03,0.05,0.2,0.34,0.12,1,0.19,0.32,0.29,0.17,0.2,0.136875,0.234,0.092727273,,,,,
,placement,-0.01,N/A,-0.03,0.01,N/A,0,-0.02,0.01,N/A,0.03,-0.01,0.12,0.06,0.18,0.19,1,0.27,0.12,-0.01,0.17,0.0675,0.1375,0.044166667,,,,,
,college,0.03,N/A,0.03,0.02,N/A,0.13,0.08,0.05,N/A,0.06,-0.01,0.12,0.38,0.26,0.32,0.27,1,0.32,0.03,0.46,0.159375,0.27,0.133846154,,,,,
,first year,0.01,N/A,0.15,0.14,N/A,0.28,0.16,0.18,N/A,0.19,0.03,0.11,0.22,0.2,0.29,0.12,0.32,1,0.13,0.19,0.17,0.16,0.171428571,,,,,
,ecuador,-0.01,N/A,-0.09,-0.01,N/A,0.04,0.05,0.04,N/A,-0.01,0.03,0.04,-0.01,0.03,0.17,-0.01,0.03,0.13,1,-0.04,0.02375,-0.04,0.028,,,,,
,fiance,0.04,N/A,0.05,0.02,N/A,0.2,0.09,0.06,N/A,0.1,-0.01,0.02,0.2,0.18,0.2,0.17,0.46,0.19,-0.04,1,0.120625,,0.120625,,,,,
,,,,,,,,,,,,,,,,,,,,,,0.094117647,0.110046367,0.102019181,,,,,
11,Document,toaster,bread,butter,cheese,mac and cheese,grandma,New York,summer,hot,spicy,cooking,home,dogs,cute,stuffed animals,children,energy,physics,high school,building,,,,,,,5,
,toaster,1,0.21,0.21,0.14,0.14,0.04,0.04,0.02,0.17,0.16,0.2,0.2,0.02,0.01,0.01,0.01,0.32,0.04,0.03,0.11,0.109473684,0.109473684,,0.313157895,0.201666667,0.133529412,,
,bread,0.21,1,0.77,0.81,0.79,0.13,0.06,0.03,0.18,0.65,0.58,0.16,0.05,0.07,0.08,0.08,0.11,-0.01,0.11,0.04,0.257894737,0.260555556,0.21,,,,,
,butter,0.21,0.77,1,0.87,0.83,0.13,0.05,0.07,0.2,0.68,0.6,0.14,0.05,0.13,0.09,0.06,0.12,0.01,0.11,0.09,0.274210526,0.248823529,0.49,,,,,
,cheese,0.14,0.81,0.87,1,0.94,0.06,0.04,0.06,0.18,0.62,0.55,0.13,0.1,0.09,0.16,0.06,0.1,-0.02,0.09,0.07,0.265789474,0.201875,0.606666667,,,,,
,mac and cheese,0.14,0.79,0.83,0.94,1,0.13,0.06,0.08,0.21,0.59,0.55,0.17,0.15,0.14,0.16,0.08,0.11,0,0.13,0.11,0.282631579,0.178,0.675,,,,,
,grandma,0.04,0.13,0.13,0.06,0.13,1,0.04,0.11,0.07,0.14,0.09,0.25,0.06,0.19,0.03,0.1,0,0,0.1,0.01,0.088421053,0.085,0.098,,,,,
,New York,0.04,0.06,0.05,0.04,0.06,0.04,1,0.16,0.06,0.08,0.06,0.19,0.04,0.18,0.08,0.1,0.05,0.07,0.16,0.18,0.089473684,0.108461538,0.048333333,,,,,
,summer,0.02,0.03,0.07,0.06,0.08,0.11,0.16,1,0.39,0.11,0.11,0.28,0.14,0.09,0.12,0.1,0.05,0.03,0.21,0.16,0.122105263,0.149166667,0.075714286,,,,,
,hot,0.17,0.18,0.2,0.18,0.21,0.07,0.06,0.39,1,0.29,0.34,0.16,0.14,0.1,0.11,0.06,0.12,0.04,0.09,0.09,0.157894737,0.14,0.1825,,,,,
,spicy,0.16,0.65,0.68,0.62,0.59,0.14,0.08,0.11,0.29,1,0.66,0.2,0.06,0.07,0.01,0.15,0.01,-0.01,0.12,0.01,0.242105263,0.128,0.368888889,,,,,
,cooking,0.2,0.58,0.6,0.55,0.55,0.09,0.06,0.11,0.34,0.66,1,0.23,0.08,0.05,0.12,0.1,0.06,0.05,0.14,0.07,0.244210526,0.1,0.374,,,,,
,home,0.2,0.16,0.14,0.13,0.17,0.25,0.19,0.28,0.16,0.2,0.23,1,0.14,0.24,0.11,0.23,0.05,0.02,0.4,0.23,0.185789474,0.1775,0.191818182,,,,,
,dogs,0.02,0.05,0.05,0.1,0.15,0.06,0.04,0.14,0.14,0.06,0.08,0.14,1,0.28,0.25,0.08,0.02,0.01,0.06,0.08,0.095263158,0.111428571,0.085833333,,,,,
,cute,0.01,0.07,0.13,0.09,0.14,0.19,0.18,0.09,0.1,0.07,0.05,0.24,0.28,1,0.18,0.06,0,0.05,0.25,0.06,0.117894737,0.1,0.126153846,,,,,
,stuffed animals,0.01,0.08,0.09,0.16,0.16,0.03,0.08,0.12,0.11,0.01,0.12,0.11,0.25,0.18,1,0.06,0.11,0.01,0.08,0.09,0.097894737,0.07,0.107857143,,,,,
,children,0.01,0.08,0.06,0.06,0.08,0.1,0.1,0.1,0.06,0.15,0.1,0.23,0.08,0.06,0.06,1,0.02,0.01,0.29,0.11,0.092631579,0.1075,0.088666667,,,,,
,energy,0.32,0.11,0.12,0.1,0.11,0,0.05,0.05,0.12,0.01,0.06,0.05,0.02,0,0.11,0.02,1,0.24,0.07,0.07,0.085789474,0.126666667,0.078125,,,,,
,physics,0.04,-0.01,0.01,-0.02,0,0,0.07,0.03,0.04,-0.01,0.05,0.02,0.01,0.05,0.01,0.01,0.24,1,0.13,0.02,0.036315789,0.075,0.031764706,,,,,
,high school,0.03,0.11,0.11,0.09,0.13,0.1,0.16,0.21,0.09,0.12,0.14,0.4,0.06,0.25,0.08,0.29,0.07,0.13,1,0.21,0.146315789,0.21,0.142777778,,,,,
,building,0.11,0.04,0.09,0.07,0.11,0.01,0.18,0.16,0.09,0.01,0.07,0.23,0.08,0.06,0.09,0.11,0.07,0.02,0.21,1,0.095263158,,0.095263158,,,,,
,,,,,,,,,,,,,,,,,,,,,,0.154368421,0.141444801,0.221227768,,,,,
12,Document,toaster,bread,grocery store,Fantastic Mr. Fox,badger,hockey,sports,ball,turf,feet,nail polish,smelly,B.0.,deodorant,summer,heat,sex,music,friends,beds,,,,,,,4,
,toaster,1,0.21,0.12,0,-0.04,0.02,0,0.02,-0.05,0,0.21,0.06,0.03,0.08,0.02,0.28,0,-0.01,0.05,0.02,0.053684211,0.053684211,,0.147368421,0.085555556,0.054705882,,
,bread,0.21,1,0.19,0.09,0.03,0.02,0.03,0.05,0.09,0.1,0.1,0.21,0.01,0.05,0.03,0.05,0,0.03,0.09,0.17,0.081578947,0.074444444,0.21,,,,,
,grocery store,0.12,0.19,1,0.12,0.1,0.04,0.08,0.05,0.03,0.05,0.08,0.15,0.05,-0.01,0.11,0.03,-0.01,0.06,0.13,0.09,0.076842105,0.067647059,0.155,,,,,
,Fantastic Mr. Fox,0,0.09,0.12,1,0.23,0.06,0.06,0.06,0.06,0.12,0.07,0.04,0.03,-0.02,0.14,0.02,0.01,0.05,0.16,0.1,0.073684211,0.074375,0.07,,,,,
,badger,-0.04,0.03,0.1,0.23,1,0,0.03,0.02,0.2,0.16,0.03,0.17,0.01,-0.03,0.24,-0.02,0.07,0.03,0.14,0.19,0.082105263,0.082666667,0.08,,,,,
,hockey,0.02,0.02,0.04,0.06,0,1,0.74,0.39,0.13,0.09,0,-0.08,0.03,-0.02,0.18,0.06,0.03,0.04,0.18,0.04,0.102631579,0.129285714,0.028,,,,,
,sports,0,0.03,0.08,0.06,0.03,0.74,1,0.21,0.1,0.06,0.03,-0.04,0.05,0,0.14,0.04,0.07,0.07,0.18,0.05,0.1,0.073846154,0.156666667,,,,,
,ball,0.02,0.05,0.05,0.06,0.02,0.39,0.21,1,0.11,0.13,0.08,0.07,0.06,-0.01,0.06,0.02,0,-0.04,0.14,0.04,0.076842105,0.055,0.114285714,,,,,
,turf,-0.05,0.09,0.03,0.06,0.2,0.13,0.1,0.11,1,0.2,0.08,0.08,0.01,0.07,0.24,0.06,0.03,0.05,0.12,0.32,0.101578947,0.114545455,0.08375,,,,,
,feet,0,0.1,0.05,0.12,0.16,0.09,0.06,0.13,0.2,1,0.12,0.18,0.05,0.07,0.2,0.07,0.02,0.11,0.12,0.21,0.108421053,0.115,0.101111111,,,,,
,nail polish,0.21,0.1,0.08,0.07,0.03,0,0.03,0.08,0.08,0.12,1,0.1,0.02,0.21,0.11,0.18,-0.02,0.06,0.06,0.21,0.091052632,0.103333333,0.08,,,,,
,smelly,0.06,0.21,0.15,0.04,0.17,-0.08,-0.04,0.07,0.08,0.18,0.1,1,0.01,0.08,0.04,0.02,0.05,0.06,0.06,0.28,0.081052632,0.075,0.085454545,,,,,
,B.0.,0.03,0.01,0.05,0.03,0.01,0.03,0.05,0.06,0.01,0.05,0.02,0.01,1,0,0.03,0.06,0.02,0.01,0.06,0.03,0.03,0.03,0.03,,,,,
,deodorant,0.08,0.05,-0.01,-0.02,-0.03,-0.02,0,-0.01,0.07,0.07,0.21,0.08,0,1,0.04,0.03,0.04,0,0.1,0.13,0.042631579,0.056666667,0.036153846,,,,,
,summer,0.02,0.03,0.11,0.14,0.24,0.18,0.14,0.06,0.24,0.2,0.11,0.04,0.03,0.04,1,0.2,0.01,0.02,0.24,0.25,0.121052632,0.144,0.112857143,,,,,
,heat,0.28,0.05,0.03,0.02,-0.02,0.06,0.04,0.02,0.06,0.07,0.18,0.02,0.06,0.03,0.2,1,0.01,-0.01,0.03,0.12,0.065789474,0.0375,0.073333333,,,,,
,sex,0,0,-0.01,0.01,0.07,0.03,0.07,0,0.03,0.02,-0.02,0.05,0.02,0.04,0.01,0.01,1,0,0.06,-0.02,0.019473684,0.013333333,0.020625,,,,,
,music,-0.01,0.03,0.06,0.05,0.03,0.04,0.07,-0.04,0.05,0.11,0.06,0.06,0.01,0,0.02,-0.01,0,1,0.15,0.04,0.037894737,0.095,0.031176471,,,,,
,friends,0.05,0.09,0.13,0.16,0.14,0.18,0.18,0.14,0.12,0.12,0.06,0.06,0.06,0.1,0.24,0.03,0.06,0.15,1,0.16,0.117368421,0.16,0.115,,,,,
,beds,0.02,0.17,0.09,0.1,0.19,0.04,0.05,0.04,0.32,0.21,0.21,0.28,0.03,0.13,0.25,0.12,-0.02,0.04,0.16,1,0.127894737,,0.127894737,,,,,
,,,,,,,,,,,,,,,,,,,,,,0.079578947,0.08185937,0.087967435,,,,,
13,Document,toaster,bread,jelly,plug,electricity,appliance,food,breakfast,eggs,butter,burnt,black,cord,chrome,orange juice,bagel,cream cheese,cinnamon,panera,toast,,,,,,,2,
,toaster,1,0.21,0.09,0.27,0.76,0.66,0.07,0.17,0.09,0.21,0.03,0.02,0.05,0.04,0.12,N/A,0.16,0.1,N/A,0.33,0.198823529,0.198823529,,0.225333333,0.144,0.131333333,,
,bread,0.21,1,0.43,0.04,0.06,0.06,0.37,0.51,0.29,0.77,0.15,0.13,0.01,0.08,0.41,N/A,0.71,0.36,N/A,0.59,0.304705882,0.310625,0.21,,,,,
,jelly,0.09,0.43,1,0.06,0,0.01,0.14,0.35,0.48,0.44,0.19,0.1,0.05,0.16,0.31,N/A,0.4,0.24,N/A,0.45,0.229411765,0.225333333,0.26,,,,,
,plug,0.27,0.04,0.06,1,0.23,0.36,0.02,0,0.07,0.03,0.24,0.05,0.06,0.05,0.09,N/A,0.02,-0.01,N/A,0.11,0.099411765,0.094285714,0.123333333,,,,,
,electricity,0.76,0.06,0,0.23,1,0.73,0.04,0.04,0.03,0.05,0.04,0.02,0.05,0.02,0.04,N/A,0.02,-0.01,N/A,0.15,0.133529412,0.093846154,0.2625,,,,,
,appliance,0.66,0.06,0.01,0.36,0.73,1,0.06,0.01,0.02,0.04,0.03,0.01,0.09,0.02,0.04,N/A,0.02,0,N/A,0.14,0.135294118,0.04,0.364,,,,,
,food,0.07,0.37,0.14,0.02,0.04,0.06,1,0.17,0.16,0.24,0.08,0.06,0.01,0.04,0.36,N/A,0.24,0.14,N/A,0.16,0.138823529,0.150909091,0.116666667,,,,,
,breakfast,0.17,0.51,0.35,0,0.04,0.01,0.17,1,0.26,0.5,0.24,0.12,0.01,0.06,0.33,N/A,0.42,0.27,N/A,0.76,0.248235294,0.297,0.178571429,,,,,
,eggs,0.09,0.29,0.48,0.07,0.03,0.02,0.16,0.26,1,0.38,0.01,0.04,0.03,0.03,0.15,N/A,0.27,0.1,N/A,0.34,0.161764706,0.15,0.175,,,,,
,butter,0.21,0.77,0.44,0.03,0.05,0.04,0.24,0.5,0.38,1,0.12,0.07,0,0.04,0.44,N/A,0.82,0.43,N/A,0.6,0.304705882,0.315,0.295555556,,,,,
,burnt,0.03,0.15,0.19,0.24,0.04,0.03,0.08,0.24,0.01,0.12,1,0.24,-0.01,0.07,0.15,N/A,0.09,0.15,N/A,0.23,0.120588235,0.131428571,0.113,,,,,
