SN,,,,,,,,,,,,,,,,,,,,,,ALL,FUTURE,PAST,N-1,N-2,N-3,NAs
,wood,0.15,0.08,0.12,0.13,0.25,0.28,0.23,1,0.06,0.05,0.17,0.09,0.01,0,0.21,0.23,0.06,0.08,0.31,0.23,0.144210526,0.125,0.177142857,,,,
,legs,0.1,0.24,0.16,0.17,0.33,0.31,0.06,0.06,1,0.11,0.13,0.12,0.04,0.02,0.3,0.13,0.08,0.18,0.31,0.03,0.151578947,0.131818182,0.17875,,,,
,bar,0.16,0.18,0.1,0.12,0.19,0.11,0.19,0.05,0.11,1,0.1,0.14,0.17,0.01,0.16,0.14,0.17,0.08,0.1,0.15,0.127894737,0.122,0.134444444,,,,
,kitchen,0.58,0.66,0.12,0.08,0.13,0.15,0.24,0.17,0.13,0.1,1,0.69,0.38,0.01,0.22,0.13,0.03,0.07,0.15,0.05,0.215263158,0.192222222,0.236,,,,
,dining room,0.51,0.76,0.15,0.14,0.19,0.16,0.25,0.09,0.12,0.14,0.69,1,0.26,0.04,0.29,0.17,0.09,0.07,0.14,0.07,0.227894737,0.14125,0.290909091,,,,
,restaurant,0.34,0.26,0.13,0.18,0.13,0.08,0.14,0.01,0.04,0.17,0.38,0.26,1,0.06,0.1,0.14,0.02,0.04,0.11,0.02,0.137368421,0.07,0.176666667,,,,
,computer,0.03,0.03,0.03,0.07,0.05,0.03,0.01,0,0.02,0.01,0.01,0.04,0.06,1,0.02,0.03,-0.02,0.01,0.01,0,0.023157895,0.008333333,0.03,,,,
,round,0.22,0.34,0.25,0.28,0.4,0.42,0.19,0.21,0.3,0.16,0.22,0.29,0.1,0.02,1,0.31,0.14,0.26,0.41,0.12,0.244210526,0.248,0.242857143,,,,
,square,0.19,0.17,0.15,0.2,0.5,0.23,0.12,0.23,0.13,0.14,0.13,0.17,0.14,0.03,0.31,1,0.52,0.42,0.25,0.15,0.22,0.335,0.189333333,,,,
,rectangle,0.15,0.07,0,0.04,0.24,0.08,0.07,0.06,0.08,0.17,0.03,0.09,0.02,-0.02,0.14,0.52,1,0.53,0.09,0.03,0.125789474,0.216666667,0.10875,,,,
,triangle,0.1,0.11,0.1,0.08,0.26,0.18,0,0.08,0.18,0.08,0.07,0.07,0.04,0.01,0.26,0.42,0.53,1,0.12,0.04,0.143684211,0.08,0.151176471,,,,
,thick,0.09,0.13,0.24,0.24,0.47,0.7,0.25,0.31,0.31,0.1,0.15,0.14,0.11,0.01,0.41,0.25,0.09,0.12,1,0.12,0.223157895,0.12,0.228888889,,,,
,metal,0.1,0.06,0.13,0.16,0.17,0.26,0.27,0.23,0.03,0.15,0.05,0.07,0.02,0,0.12,0.15,0.03,0.04,0.12,1,0.113684211,,0.113684211,,,,
,,,,,,,,,,,,,,,,,,,,,,0.179052632,0.169476627,0.219088087,,,,
108,Document,Table,chairs,legs,wood,trees,leaves,green,shamrock,Ireland,home,house,roof,car,wheels,bike,road,travel,plane,shy,clouds,,,,,,,0
,Table,1,0.55,0.1,0.15,0.03,0.03,0.1,0,0.01,0.13,0.14,0.1,0.04,0.03,0.03,0.05,0.05,0.08,0.15,0.05,0.095789474,0.095789474,,0.274210526,0.143333333,0.105294118,
,chairs,0.55,1,0.18,0.29,0.14,0.05,0.12,0.01,-0.01,0.25,0.35,0.35,0.09,0.03,0.09,0.1,0.12,0.05,0.2,0.06,0.158947368,0.137222222,0.55,,,,
,legs,0.1,0.18,1,0.06,0.11,0.17,0.15,-0.03,0.02,0.18,0.11,0.16,0.05,0.11,0.14,0.14,0.05,0.04,0.3,0.05,0.11,0.106470588,0.14,,,,
,wood,0.15,0.29,0.06,1,0.4,0.25,0.12,-0.04,0.05,0.12,0.15,0.3,0.01,0.08,0.08,0.11,0.08,0.07,0.05,0.02,0.123684211,0.115625,0.166666667,,,,
,trees,0.03,0.14,0.11,0.4,1,0.52,0.3,0.01,0,0.17,0.17,0.18,0.05,0.06,0.09,0.26,0.14,0.02,0.15,0.11,0.153157895,0.148666667,0.17,,,,
,leaves,0.03,0.05,0.17,0.25,0.52,1,0.44,0.03,0.02,0.11,0.1,0.09,0.05,0.01,0.05,0.1,0.06,0.01,0.12,0.09,0.121052632,0.091428571,0.204,,,,
,green,0.1,0.12,0.15,0.12,0.3,0.44,1,0.09,0.06,0.15,0.14,0.14,0.06,0.1,0.15,0.16,0.04,0.05,0.24,0.12,0.143684211,0.115384615,0.205,,,,
,shamrock,0,0.01,-0.03,-0.04,0.01,0.03,0.09,1,-0.06,0.11,-0.01,0.05,0.14,0.08,0,0.22,0.1,0.05,0.08,0.06,0.046842105,0.068333333,0.01,,,,
,Ireland,0.01,-0.01,0.02,0.05,0,0.02,0.06,-0.06,1,0.08,0.07,0.02,-0.01,0.03,0.03,0.04,0.05,0.07,0.07,0.01,0.028947368,0.041818182,0.01125,,,,
,home,0.13,0.25,0.18,0.12,0.17,0.11,0.15,0.11,0.08,1,0.43,0.22,0.14,0.05,0.21,0.17,0.16,0.06,0.24,0.03,0.158421053,0.171,0.144444444,,,,
,house,0.14,0.35,0.11,0.15,0.17,0.1,0.14,-0.01,0.07,0.43,1,0.48,0.13,0.03,0.19,0.21,0.04,0.03,0.13,0.07,0.155789474,0.145555556,0.165,,,,
,roof,0.1,0.35,0.16,0.3,0.18,0.09,0.14,0.05,0.02,0.22,0.48,1,0.12,0.02,0.04,0.15,0.07,0.13,0.07,0.21,0.152631579,0.10125,0.19,,,,
,car,0.04,0.09,0.05,0.01,0.05,0.05,0.06,0.14,-0.01,0.14,0.13,0.12,1,0.48,0.22,0.43,0.14,0.03,0.05,0.05,0.119473684,0.2,0.0725,,,,
,wheels,0.03,0.03,0.11,0.08,0.06,0.01,0.1,0.08,0.03,0.05,0.03,0.02,0.48,1,0.58,0.4,0.1,0.09,0.06,0.02,0.124210526,0.208333333,0.085384615,,,,
,bike,0.03,0.09,0.14,0.08,0.09,0.05,0.15,0,0.03,0.21,0.19,0.04,0.22,0.58,1,0.28,0.09,0.06,0.11,0.05,0.131052632,0.118,0.135714286,,,,
,road,0.05,0.1,0.14,0.11,0.26,0.1,0.16,0.22,0.04,0.17,0.21,0.15,0.43,0.4,0.28,1,0.25,-0.01,0.12,0.09,0.172105263,0.1125,0.188,,,,
,travel,0.05,0.12,0.05,0.08,0.14,0.06,0.04,0.1,0.05,0.16,0.04,0.07,0.14,0.1,0.09,0.25,1,0.24,0.1,0.1,0.104210526,0.146666667,0.09625,,,,
,plane,0.08,0.05,0.04,0.07,0.02,0.01,0.05,0.05,0.07,0.06,0.03,0.13,0.03,0.09,0.06,-0.01,0.24,1,0.01,0.09,0.061578947,0.05,0.062941176,,,,
,shy,0.15,0.2,0.3,0.05,0.15,0.12,0.24,0.08,0.07,0.24,0.13,0.07,0.05,0.06,0.11,0.12,0.1,0.01,1,0.08,0.122631579,0.08,0.125,,,,
,clouds,0.05,0.06,0.05,0.02,0.11,0.09,0.12,0.06,0.01,0.03,0.07,0.21,0.05,0.02,0.05,0.09,0.1,0.09,0.08,1,0.071578947,,0.071578947,,,,
,,,,,,,,,,,,,,,,,,,,,,0.117789474,0.118633906,0.151230622,,,,
109,Document,Table,salt,pepper,food,legs,brown,wood,stools,ouch,kitty,hands,pen,shoes,pasture,man,woman,short,small,dinner,napkins,,,,,,,0
,Table,1,0.22,0.18,0.08,0.1,0.12,0.15,0.38,0.16,0.01,0.24,0.11,0.17,0.03,0.11,0.07,0.1,0.14,0.57,0.56,0.184210526,0.184210526,,0.202631579,0.171111111,0.146470588,
,salt,0.22,1,0.21,0.16,0.03,0.15,0.11,0.11,0.01,0.01,0.09,0.01,0.02,0.1,0.04,0.04,0.06,0.2,0.11,0.09,0.093157895,0.086111111,0.22,,,,
,pepper,0.18,0.21,1,0.14,0.18,0.19,0.09,0.2,0.28,0.02,0.2,0.18,0.17,0.14,0.06,0.12,0.08,0.21,0.27,0.3,0.169473684,0.166470588,0.195,,,,
,food,0.08,0.16,0.14,1,0.1,0.09,0.14,0.16,0.01,0.03,0.1,0.02,0.09,0.1,0.09,0.08,0.16,0.31,0.21,0.19,0.118947368,0.1175,0.126666667,,,,
,legs,0.1,0.03,0.18,0.1,1,0.26,0.06,0.16,0.26,0.03,0.44,0.11,0.29,0.16,0.14,0.12,0.33,0.2,0.11,0.05,0.164736842,0.181333333,0.1025,,,,
,brown,0.12,0.15,0.19,0.09,0.26,1,0.08,0.21,0.1,0.06,0.24,0.16,0.29,0.32,0.15,0.17,0.32,0.3,0.23,0.09,0.185789474,0.194285714,0.162,,,,
,wood,0.15,0.11,0.09,0.14,0.06,0.08,1,0.38,0.07,0,0.15,0.14,0.15,0.16,0.1,0.07,0.07,0.18,0.11,0.11,0.122105263,0.13,0.105,,,,
,stools,0.38,0.11,0.2,0.16,0.16,0.21,0.38,1,0.08,0.03,0.18,0.09,0.25,0.13,0.19,0.15,0.1,0.25,0.35,0.24,0.191578947,0.17,0.228571429,,,,
,ouch,0.16,0.01,0.28,0.01,0.26,0.1,0.07,0.08,1,0.08,0.27,0.24,0.18,0.16,0.19,0.11,0.1,0.1,0.16,0.13,0.141578947,0.156363636,0.12125,,,,
,kitty,0.01,0.01,0.02,0.03,0.03,0.06,0,0.03,0.08,1,0.21,0.1,0.19,0.06,0.21,0.38,0.13,0.11,0.13,0,0.094210526,0.152,0.03,,,,
,hands,0.24,0.09,0.2,0.1,0.44,0.24,0.15,0.18,0.27,0.21,1,0.22,0.45,0.13,0.37,0.22,0.27,0.26,0.27,0.14,0.234210526,0.258888889,0.212,,,,
,pen,0.11,0.01,0.18,0.02,0.11,0.16,0.14,0.09,0.24,0.1,0.22,1,0.07,0.31,0.11,0.06,0.2,0.13,0.14,0.21,0.137368421,0.15375,0.125454545,,,,
,shoes,0.17,0.02,0.17,0.09,0.29,0.29,0.15,0.25,0.18,0.19,0.45,0.07,1,0.09,0.23,0.25,0.26,0.2,0.22,0.11,0.193684211,0.194285714,0.193333333,,,,
,pasture,0.03,0.1,0.14,0.1,0.16,0.32,0.16,0.13,0.16,0.06,0.13,0.31,0.09,1,0.07,0.05,0.21,0.14,0.19,0.01,0.134736842,0.111666667,0.145384615,,,,
,man,0.11,0.04,0.06,0.09,0.14,0.15,0.1,0.19,0.19,0.21,0.37,0.11,0.23,0.07,1,0.37,0.22,0.23,0.19,0.11,0.167368421,0.224,0.147142857,,,,
,woman,0.07,0.04,0.12,0.08,0.12,0.17,0.07,0.15,0.11,0.38,0.22,0.06,0.25,0.05,0.37,1,0.16,0.22,0.18,0.06,0.151578947,0.155,0.150666667,,,,
,short,0.1,0.06,0.08,0.16,0.33,0.32,0.07,0.1,0.1,0.13,0.27,0.2,0.26,0.21,0.22,0.16,1,0.32,0.14,0.07,0.173684211,0.176666667,0.173125,,,,
,small,0.14,0.2,0.21,0.31,0.2,0.3,0.18,0.25,0.1,0.11,0.26,0.13,0.2,0.14,0.23,0.22,0.32,1,0.19,0.11,0.2,0.15,0.205882353,,,,
,dinner,0.57,0.11,0.27,0.21,0.11,0.23,0.11,0.35,0.16,0.13,0.27,0.14,0.22,0.19,0.19,0.18,0.14,0.19,1,0.6,0.23,0.6,0.209444444,,,,
,napkins,0.56,0.09,0.3,0.19,0.05,0.09,0.11,0.24,0.13,0,0.14,0.21,0.11,0.01,0.11,0.06,0.07,0.11,0.6,1,0.167368421,,0.167368421,,,,
,,,,,,,,,,,,,,,,,,,,,,0.162789474,0.187501729,0.158523439,,,,
110,Document,Table,preference,television,comedy,sitcom,show tunes,ghost,roast,boast,toast,coast,coastal,hemisphere,sphere,shapes,geometry,classes,school,misspelled,bad,,,,,,,1
,Table,1,0.09,0.05,0.03,N/A,0.12,0.03,0.38,0.11,0.43,0.03,0.03,0.01,0.02,0.09,0.15,0.06,0.1,0,0.12,0.102777778,0.102777778,,0.218235294,0.14125,0.084666667,
,preference,0.09,1,0.15,0.07,N/A,0.11,-0.07,0.08,0.11,0.04,-0.02,0.01,0.01,0.08,0.14,0.08,0.22,0.11,0.06,0.01,0.071111111,0.07,0.09,,,,
,television,0.05,0.15,1,0.3,N/A,0.31,0.03,0.05,0.06,0.02,0.03,0.01,0,0.02,0.03,-0.01,0.05,0.1,0.08,0.13,0.078333333,0.075625,0.1,,,,
,comedy,0.03,0.07,0.3,1,N/A,0.25,0.14,0.06,0.15,-0.05,0,-0.02,-0.01,0.04,0,0,0.05,0.01,0.03,0.1,0.063888889,0.05,0.133333333,,,,
,sitcom,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,
,show tunes,0.12,0.11,0.31,0.25,N/A,1,0.14,0.03,0.08,0.07,0.04,0.05,0.07,0.13,0.25,0.15,0.16,0.16,0.09,0.18,0.132777778,0.114285714,0.1975,,,,
,ghost,0.03,-0.07,0.03,0.14,N/A,0.14,1,0.03,0.04,0.1,0.08,0.01,-0.01,-0.02,0.03,0,0.05,0.07,0.06,0.27,0.054444444,0.054615385,0.054,,,,
,roast,0.38,0.08,0.05,0.06,N/A,0.03,0.03,1,0.16,0.56,0.1,0.05,0,0.03,0.03,0.03,0.03,0.08,-0.03,0.2,0.103888889,0.103333333,0.105,,,,
,boast,0.11,0.11,0.06,0.15,N/A,0.08,0.04,0.16,1,0.09,0.1,0.07,0.01,-0.05,0.06,0.06,-0.01,0.08,-0.04,0.13,0.067222222,0.045454545,0.101428571,,,,
,toast,0.43,0.04,0.02,-0.05,N/A,0.07,0.1,0.56,0.09,1,0.02,0.04,-0.02,-0.01,0.03,0.05,0.07,0.2,-0.01,0.22,0.102777778,0.059,0.1575,,,,
,coast,0.03,-0.02,0.03,0,N/A,0.04,0.08,0.1,0.1,0.02,1,0.65,0.13,-0.02,0.03,-0.01,0.01,0.03,0,0.07,0.070555556,0.098888889,0.042222222,,,,
,coastal,0.03,0.01,0.01,-0.02,N/A,0.05,0.01,0.05,0.07,0.04,0.65,1,0.13,-0.03,0.05,0.02,0.05,0.01,0.04,0.04,0.067222222,0.03875,0.09,,,,
,hemisphere,0.01,0.01,0,-0.01,N/A,0.07,-0.01,0,0.01,-0.02,0.13,0.13,1,0.57,0.09,0.18,0,0,0.02,0.04,0.067777778,0.128571429,0.029090909,,,,
,sphere,0.02,0.08,0.02,0.04,N/A,0.13,-0.02,0.03,-0.05,-0.01,-0.02,-0.03,0.57,1,0.26,0.32,0.04,0.03,0,0.01,0.078888889,0.11,0.063333333,,,,
,shapes,0.09,0.14,0.03,0,N/A,0.25,0.03,0.03,0.06,0.03,0.03,0.05,0.09,0.26,1,0.34,0.07,0.04,0.05,0.03,0.09,0.106,0.083846154,,,,
,geometry,0.15,0.08,-0.01,0,N/A,0.15,0,0.03,0.06,0.05,-0.01,0.02,0.18,0.32,0.34,1,0.2,0.2,0.07,0.02,0.102777778,0.1225,0.097142857,,,,
,classes,0.06,0.22,0.05,0.05,N/A,0.16,0.05,0.03,-0.01,0.07,0.01,0.05,0,0.04,0.07,0.2,1,0.47,0.11,0.1,0.096111111,0.226666667,0.07,,,,
,school,0.1,0.11,0.1,0.01,N/A,0.16,0.07,0.08,0.08,0.2,0.03,0.01,0,0.03,0.04,0.2,0.47,1,0.02,0.23,0.107777778,0.125,0.105625,,,,
,misspelled,0,0.06,0.08,0.03,N/A,0.09,0.06,-0.03,-0.04,-0.01,0,0.04,0.02,0,0.05,0.07,0.11,0.02,1,0.09,0.035555556,0.09,0.032352941,,,,
,bad,0.12,0.01,0.13,0.1,N/A,0.18,0.27,0.2,0.13,0.22,0.07,0.04,0.04,0.01,0.03,0.02,0.1,0.23,0.09,1,0.110555556,,0.110555556,,,,
,,,,,,,,,,,,,,,,,,,,,,0.084444444,0.095637152,0.091316195,,,,
111,Document,Table,cup,maker,clock,leg,area,wood,heart,carpenter,house,ledge,roof,plate,cart,time lag,sleep,jet,horse,rocking chair,arm chair,,,,,,,0
,Table,1,0.44,0.07,0.08,0.14,0.07,0.15,0.03,0.19,0.14,0.09,0.1,0.32,0.08,0.2,0.07,0.05,0.05,0.59,0.43,0.173157895,0.173157895,,0.163684211,0.152222222,0.142941176,
,cup,0.44,1,0.15,0.25,0.22,0.1,0.19,0.12,0.16,0.09,0.09,0.02,0.37,0.13,0.26,0.2,0.1,0.07,0.44,0.4,0.2,0.186666667,0.44,,,,
,maker,0.07,0.15,1,0.06,0.03,0.1,0.15,0.05,0.24,0.15,0.05,0.08,0.14,0.04,0.29,0.12,0.02,0.04,0.08,0.09,0.102631579,0.101764706,0.11,,,,
,clock,0.08,0.25,0.06,1,0.07,0.04,0,0.09,0.04,0.13,0.13,0.09,0.08,0.1,0.31,0.28,0.13,0.03,0.23,0.19,0.122631579,0.12125,0.13,,,,
,leg,0.14,0.22,0.03,0.07,1,0.07,0.14,0.13,0.11,0.1,0.31,0.13,0.15,0.2,0.25,0.1,0.1,0.19,0.29,0.64,0.177368421,,,,,,
,area,0.07,0.1,0.1,0.04,0.07,1,0.05,0.05,0.13,0.07,0.05,0.06,0.06,0.02,0.27,0.04,0.08,0.03,0.09,0.1,0.077894737,0.078571429,0.076,,,,
,wood,0.15,0.19,0.15,0,0.14,0.05,1,0.03,0.54,0.15,0.03,0.3,0.1,0.1,0.2,0.04,0.09,0.08,0.1,0.11,0.134210526,0.143846154,0.113333333,,,,
,heart,0.03,0.12,0.05,0.09,0.13,0.05,0.03,1,0.02,0.07,0.11,0.04,0,0.07,0.21,0.13,0.02,0.05,0.1,0.16,0.077894737,0.081666667,0.071428571,,,,
,carpenter,0.19,0.16,0.24,0.04,0.11,0.13,0.54,0.02,1,0.22,0.13,0.33,0.07,0.12,0.26,0.09,-0.01,0.03,0.21,0.17,0.160526316,0.147272727,0.17875,,,,
,house,0.14,0.09,0.15,0.13,0.1,0.07,0.15,0.07,0.22,1,0.07,0.48,0.05,0.19,0.3,0.18,0.05,0.08,0.31,0.24,0.161578947,0.195,0.124444444,,,,
,ledge,0.09,0.09,0.05,0.13,0.31,0.05,0.03,0.11,0.13,0.07,1,0.35,0.02,0.21,0.21,0.16,0.05,0.06,0.28,0.33,0.143684211,0.185555556,0.106,,,,
,roof,0.1,0.02,0.08,0.09,0.13,0.06,0.3,0.04,0.33,0.48,0.35,1,0.09,0.19,0.27,0.2,0.06,0.03,0.23,0.14,0.167894737,0.15125,0.18,,,,
,plate,0.32,0.37,0.14,0.08,0.15,0.06,0.1,0,0.07,0.05,0.02,0.09,1,0.05,0.19,0.04,-0.02,0.02,0.19,0.21,0.112105263,0.097142857,0.120833333,,,,
,cart,0.08,0.13,0.04,0.1,0.2,0.02,0.1,0.07,0.12,0.19,0.21,0.19,0.05,1,0.29,0.13,0.12,0.39,0.19,0.2,0.148421053,0.22,0.115384615,,,,
,time lag,0.2,0.26,0.29,0.31,0.25,0.27,0.2,0.21,0.26,0.3,0.21,0.27,0.19,0.29,1,0.31,0.21,0.12,0.35,0.34,0.254736842,0.266,0.250714286,,,,
,sleep,0.07,0.2,0.12,0.28,0.1,0.04,0.04,0.13,0.09,0.18,0.16,0.2,0.04,0.13,0.31,1,0.03,0.05,0.31,0.19,0.140526316,0.145,0.139333333,,,,
,jet,0.05,0.1,0.02,0.13,0.1,0.08,0.09,0.02,-0.01,0.05,0.05,0.06,-0.02,0.12,0.21,0.03,1,0.05,0.08,0.06,0.066842105,0.063333333,0.0675,,,,
,horse,0.05,0.07,0.04,0.03,0.19,0.03,0.08,0.05,0.03,0.08,0.06,0.03,0.02,0.39,0.12,0.05,0.05,1,0.04,0.07,0.077894737,0.055,0.080588235,,,,
,rocking chair,0.59,0.44,0.08,0.23,0.29,0.09,0.1,0.1,0.21,0.31,0.28,0.23,0.19,0.19,0.35,0.31,0.08,0.04,1,0.72,0.254210526,0.72,0.228333333,,,,
,arm chair,0.43,0.4,0.09,0.19,0.64,0.1,0.11,0.16,0.17,0.24,0.33,0.14,0.21,0.2,0.34,0.19,0.06,0.07,0.72,1,0.252105263,,0.252105263,,,,
,,,,,,,,,,,,,,,,,,,,,,0.150315789,0.174026555,0.148979029,,,,
112,Document,Table,Chair,dinner,meal,spoon,fork,water,salt,pepper,steak,cow,farm,grass,moo,chicken,fence,overalls,straw,bamboo,China,,,,,,,0
,Table,1,0.61,0.57,0.37,0.45,0.42,0.11,0.22,0.18,0.4,-0.01,0.03,0.02,-0.07,0.28,0.13,0.08,0.17,0.09,0.01,0.213684211,0.213684211,,0.346315789,0.226666667,0.227647059,
,Chair,0.61,1,0.48,0.25,0.38,0.28,0.06,0.05,0.24,0.28,0.07,0.03,0.04,0,0.24,0.12,0.31,0.33,0.12,0.03,0.206315789,0.183888889,0.61,,,,
,dinner,0.57,0.48,1,0.62,0.45,0.44,0.1,0.11,0.27,0.59,0.17,0.1,0.16,0.12,0.49,0.16,0.15,0.24,0.13,0.04,0.283684211,0.255294118,0.525,,,,
,meal,0.37,0.25,0.62,1,0.42,0.35,0.1,0.21,0.32,0.63,0.18,0.09,0.17,0.11,0.54,0.1,0.07,0.17,0.2,0.08,0.262105263,0.23375,0.413333333,,,,
,spoon,0.45,0.38,0.45,0.42,1,0.48,0.17,0.13,0.29,0.49,0.16,0.05,0.14,0.1,0.44,0.1,0.14,0.21,0.1,0,0.247368421,0.2,0.425,,,,
,fork,0.42,0.28,0.44,0.35,0.48,1,0.08,0.09,0.23,0.36,0.1,0.05,0.12,0.01,0.32,0.18,0.18,0.16,0.09,0.01,0.207894737,0.141428571,0.394,,,,
,water,0.11,0.06,0.1,0.1,0.17,0.08,1,0.46,0.13,0.1,0.07,0.09,0.22,0.04,0.13,0.08,0,0.2,0.17,0.03,0.123157895,0.132307692,0.103333333,,,,
,salt,0.22,0.05,0.11,0.21,0.13,0.09,0.46,1,0.21,0.12,0.08,0.03,0.12,0,0.12,0.07,0.05,0.08,0.04,0.03,0.116842105,0.079166667,0.181428571,,,,
,pepper,0.18,0.24,0.27,0.32,0.29,0.23,0.13,0.21,1,0.35,0.19,0.02,0.12,0.03,0.44,0.18,0.18,0.22,0.24,0.26,0.215789474,0.202727273,0.23375,,,,
,steak,0.4,0.28,0.59,0.63,0.49,0.36,0.1,0.12,0.35,1,0.15,0.01,0.1,0,0.59,0.08,0.1,0.19,0.12,-0.01,0.244736842,0.133,0.368888889,,,,
,cow,-0.01,0.07,0.17,0.18,0.16,0.1,0.07,0.08,0.19,0.15,1,0.42,0.44,0.7,0.34,0.4,0.2,0.36,0.04,0,0.213684211,0.322222222,0.116,,,,
,farm,0.03,0.03,0.1,0.09,0.05,0.05,0.09,0.03,0.02,0.01,0.42,1,0.21,0.17,0.17,0.2,0.15,0.27,0.03,0.07,0.115263158,0.15875,0.083636364,,,,
,grass,0.02,0.04,0.16,0.17,0.14,0.12,0.22,0.12,0.12,0.1,0.44,0.21,1,0.33,0.23,0.51,0.22,0.35,0.24,0.03,0.198421053,0.272857143,0.155,,,,
,moo,-0.07,0,0.12,0.11,0.1,0.01,0.04,0,0.03,0,0.7,0.17,0.33,1,0.17,0.22,0.11,0.15,0.02,0,0.116315789,0.111666667,0.118461538,,,,
,chicken,0.28,0.24,0.49,0.54,0.44,0.32,0.13,0.12,0.44,0.59,0.34,0.17,0.23,0.17,1,0.26,0.2,0.26,0.13,0.06,0.284736842,0.182,0.321428571,,,,
,fence,0.13,0.12,0.16,0.1,0.1,0.18,0.08,0.07,0.18,0.08,0.4,0.2,0.51,0.22,0.26,1,0.4,0.32,0.17,0,0.193684211,0.2225,0.186,,,,
,overalls,0.08,0.31,0.15,0.07,0.14,0.18,0,0.05,0.18,0.1,0.2,0.15,0.22,0.11,0.2,0.4,1,0.39,0.15,0,0.162105263,0.18,0.15875,,,,
,straw,0.17,0.33,0.24,0.17,0.21,0.16,0.2,0.08,0.22,0.19,0.36,0.27,0.35,0.15,0.26,0.32,0.39,1,0.22,0.02,0.226842105,0.12,0.239411765,,,,
,bamboo,0.09,0.12,0.13,0.2,0.1,0.09,0.17,0.04,0.24,0.12,0.04,0.03,0.24,0.02,0.13,0.17,0.15,0.22,1,0.32,0.137894737,0.32,0.127777778,,,,
,China,0.01,0.03,0.04,0.08,0,0.01,0.03,0.03,0.26,-0.01,0,0.07,0.03,0,0.06,0,0,0.02,0.32,1,0.051578947,,0.051578947,,,,
,,,,,,,,,,,,,,,,,,,,,,0.191105263,0.19290755,0.264511119,,,,
113,Document,table,cup,desk,tea,candle,incense,air,smoke,trees,twigs,squirrel,trash can,truck,boys,ball,bat,bags,screen,door,house,,,,,,,0
,table,1,0.44,0.22,0.38,0.28,0.14,0.07,0.06,0.03,0.05,0.02,0.16,0.04,0.1,0.09,0.04,0.06,0.05,0.15,0.14,0.132631579,0.132631579,,0.260526316,0.181111111,0.143529412,
,cup,0.44,1,0.21,0.52,0.29,0.14,0.16,0.11,0.12,0.23,0.05,0.21,0.13,0.05,0.09,0.08,0.26,0.1,0.15,0.09,0.180526316,0.166111111,0.44,,,,
,desk,0.22,0.21,1,0.18,0.13,0.12,0.04,0.01,0.02,0.04,0,0.22,0.19,0.08,0.07,0.06,0.23,0.19,0.35,0.09,0.128947368,0.118823529,0.215,,,,
,tea,0.38,0.52,0.18,1,0.18,0.15,0.05,0.12,0.09,0.14,0.05,0.13,0.03,0.05,0.05,-0.02,0.21,0.03,0.2,0.24,0.146315789,0.10625,0.36,,,,
,candle,0.28,0.29,0.13,0.18,1,0.28,0.19,0.29,0.02,0.19,-0.02,0.17,0.01,0.04,0.06,0.07,0.2,0.15,0.31,0.13,0.156315789,0.139333333,0.22,,,,
,incense,0.14,0.14,0.12,0.15,0.28,1,0.1,0.23,0.2,0.15,-0.05,0.08,0.03,0.03,-0.05,-0.05,0.16,0.08,0.2,0.17,0.111052632,0.091428571,0.166,,,,
,air,0.07,0.16,0.04,0.05,0.19,0.1,1,0.28,0.14,0.1,0.04,0.31,0.11,0.06,0.07,0.11,0.17,0.07,0.06,0.06,0.115263158,0.121538462,0.101666667,,,,
,smoke,0.06,0.11,0.01,0.12,0.29,0.23,0.28,1,0.11,0.16,0.01,0.18,0.08,0.04,0.02,0.02,0.09,0.07,0.1,0.1,0.109473684,0.081666667,0.157142857,,,,
,trees,0.03,0.12,0.02,0.09,0.02,0.2,0.14,0.11,1,0.45,0.43,0.2,0.12,0.09,0.01,0.04,0.11,0.05,0.07,0.17,0.13,0.158181818,0.09125,,,,
,twigs,0.05,0.23,0.04,0.14,0.19,0.15,0.1,0.16,0.45,1,0.46,0.13,0.03,0.03,0.05,0.09,0.1,0.09,0.05,0.09,0.138421053,0.112,0.167777778,,,,
,squirrel,0.02,0.05,0,0.05,-0.02,-0.05,0.04,0.01,0.43,0.46,1,0.18,0.13,0.04,0.07,0.11,0.14,0.05,0.08,0.15,0.102105263,0.105555556,0.099,,,,
,trash can,0.16,0.21,0.22,0.13,0.17,0.08,0.31,0.18,0.2,0.13,0.18,1,0.25,0.14,0.16,0.14,0.41,0.18,0.16,0.17,0.188421053,0.20125,0.179090909,,,,
,truck,0.04,0.13,0.19,0.03,0.01,0.03,0.11,0.08,0.12,0.03,0.13,0.25,1,0.16,0.14,0.17,0.45,0.02,0.19,0.19,0.13,0.188571429,0.095833333,,,,
,boys,0.1,0.05,0.08,0.05,0.04,0.03,0.06,0.04,0.09,0.03,0.04,0.14,0.16,1,0.11,0.1,0.19,0.03,0.15,0.15,0.086315789,0.121666667,0.07,,,,
,ball,0.09,0.09,0.07,0.05,0.06,-0.05,0.07,0.02,0.01,0.05,0.07,0.16,0.14,0.11,1,0.84,0.06,0.01,0.03,0.06,0.102105263,0.2,0.067142857,,,,
,bat,0.04,0.08,0.06,-0.02,0.07,-0.05,0.11,0.02,0.04,0.09,0.11,0.14,0.17,0.1,0.84,1,0.1,0.01,0.06,0.04,0.105789474,0.0525,0.12,,,,
